"名称","名称かな","所在地","TEL","FAX","備考","URL","利用可能時間","休館日_1","写真","参考URL2","爆心地からの距離","所有者等","構造","郵便番号","TEL(夜間・休日）","私立等・公立の別","開設者種別","科目","対応可能言語","登録区分","開館時間","休館日_2","設置学部","障害種別","類型","設置者","文化財分類","種類","文化財指定日","区名","介護保険事業所番号","申請者-法人名","状態区分","NO","行政区","水利種別","公私区分","施設ID","登録番号","担当区内通番号","経度","緯度","分類"
"広島中央保健生活協同組合　生協さえき病院","","広島市佐伯区八幡東３－１１－２９","082-926-4511","","","","","","","","","","","731-5115","","","","","","","","","","","","","","","","","","","","","","","","A047000068","","","132.364937000024","34.3878429999273","病院"
"医療法人みずの会　さんよう水野病院","","広島市安佐南区川内４丁目１３号３３番","082-831-7878","","","","","","","","","","","731-0102","","","","","","","","","","","","","","","","","","","","","","","","A047000069","","","132.488979000054","34.4627809999302","病院"
"医療法人サカもみの木会　サカ緑井病院","","広島市安佐南区緑井６－２８－１","082-879-0099","","","","","","","","","","","731-0103","","","","","","","","","","","","","","","","","","","","","","","","A047000070","","","132.481530999941","34.4724639998614","病院"
"地方独立行政法人広島市立病院機構　広島市立リハビリテーション病院","","広島市安佐南区伴南一丁目３９番１号","082-848-8001","","","","","","","","","","","731-3168","","","","","","","","","","","","","","","","","","","","","","","","A047000071","","","132.383459999954","34.4494199998041","病院"
"医療法人社団聖愛会　　ぎおん牛田病院","","広島市安佐南区西原八丁目２９番２４号","082-850-3116","","","","","","","","","","","731-0113","","","","","","","","","","","","","","","","","","","","","","","","A047000072","","","132.470967999869","34.4427629999282","病院"
"医療法人社団まりも会　ヒロシマ平松病院","","広島市南区比治山本町１１番２７号","082-256-3650","","","","","","","","","","","732-0816","","","","","","","","","","","","","","","","","","","","","","","","A047000073","","","132.471227000162","34.3798919996913","病院"
"医療法人社団おると会浜脇整形外科病院","","広島市中区大手町４丁目６－６","082-240-1166","","","","","","","","","","","730-0051","","","","","","","","","","","","","","","","","","","","","","","","A047000074","","","132.453068999964","34.3851220000313","病院"
"医療法人　社団楓会　林病院","","広島市中区三川町３－８","082-248-0600","","","","","","","","","","","730-0029","","","","","","","","","","","","","","","","","","","","","","","","A047000075","","","132.461670000012","34.3908909998985","病院"
"医療法人厚生堂　長崎病院","","広島市西区横川新町３－１１","082-208-5801","","","","","","","","","","","733-0013","","","","","","","","","","","","","","","","","","","","","","","","A047000076","","","132.446936999996","34.4090769997419","病院"
"広島医療生活協同組合　広島共立病院","","広島市安佐南区中須二丁目２０－２０","082-879-1111","","","","","","","","","","","731-0121","","","","","","","","","","","","","","","","","","","","","","","","A047000077","","","132.474732000116","34.4605879998113","病院"
"福島生協病院","","広島市西区福島町一丁目２４－７","082-292-3171","","","","","","","","","","","733-0024","","","","","","","","","","","","","","","","","","","","","","","","A047000078","","","132.435361999742","34.3951659996804","病院"
"医療法人　翠清会　翠清会梶川病院","","広島市中区東千田町一丁目１－２３","082-249-6411","","","","","","","","","","","730-0053","","","","","","","","","","","","","","","","","","","","","","","","A047000079","","","132.459329000022","34.3822050000284","病院"
"メリィホスピタル","","広島市安佐南区大塚西三丁目１－２０","082-849-2300","","","","","","","","","","","731-3167","","","","","","","","","","","","","","","","","","","","","","","","A047000080","","","132.392173000004","34.446125999649","病院"
"広島中央リハビリテーション病院","","広島市中区平野町６－２４","082-207-2785","","","","","","","","","","","730-0047","","","","","","","","","","","","","","","","","","","","","","","","A047000081","","","132.462560000132","34.3802369999415","病院"
"広島心臓血管病院","","広島市安佐南区西原七丁目８－３８","082-874-8080","","","","","","","","","","","731-0113","","","","","","","","","","","","","","","","","","","","","","","","A047000082","","","132.474965999978","34.4407199998791","病院"
"広島市立北部医療センター安佐市民病院","","広島市安佐北区亀山南１－２－１","082-815-5211","","","","","","","","","","","731-0232","","","","","","","","","","","","","","","","","","","","","","","","A047000083","","","132.49792299997","34.5162969996326","病院"
"医療法人広和会　福馬病院","","広島市西区観音本町１丁目１－１９","082-291-4500","","","","","","","","","","","733-0033","","","","","","","","","","","","","","","","","","","","","","","","A047000084","","","132.44089700006","34.3883039999303","病院"
"安佐医師会病院","","広島市安佐北区可部南２丁目１－３８","082-555-2700","","","","","","","","","","","731-0223","","","","","","","","","","","","","","","","","","","","","","","","A047000085","","","132.516323000048","34.5061489999662","病院"
"医療法人山紫会伊達医院","","広島市東区温品７－１２－２６","082-289-0529","","","","","","","","","","","732-0033","","","","","","","","","","","","","","","","","","","","","","","","A048000001","","","132.509338999929","34.4136269997323","診療所"
"医療法人社団ひろし会　だて子どもクリニック","","広島市安芸区矢野東５－７－１３","082-888-0018","","","","","","","","","","","736-0083","","","","","","","","","","","","","","","","","","","","","","","","A048000002","","","132.538498000038","34.3534079997872","診療所"
"あまき内科泌尿器科医院","","広島市佐伯区五日市中央２丁目１－１０","082-922-2366","","","","","","","","","","","731-5128","","","","","","","","","","","","","","","","","","","","","","","","A048000004","","","132.35632700032","34.3697329996718","診療所"
"小田医院","","広島市佐伯区五日市町上河内４９８－１","082-928-0185","","","","","","","","","","","731-5151","","","","","","","","","","","","","","","","","","","","","","","","A048000005","","","132.354021999968","34.4141149997015","診療所"
"医療法人　加藤内科クリニック","","広島市佐伯区五日市一丁目５番６１号","082-921-0029","","","","","","","","","","","731-5127","","","","","","","","","","","","","","","","","","","","","","","","A048000006","","","132.359327000323","34.3671779996846","診療所"
"医療法人社団　三宅クリニック","","広島市佐伯区五日市中央５－１－３９","082-922-3655","","","","","","","","","","","731-5128","","","","","","","","","","","","","","","","","","","","","","","","A048000007","","","132.357949000139","34.375569999703","診療所"
"医療法人社団　つわぶき会　山下外科医院","","広島市佐伯区五日市中央５丁目１３－２５","082-921-2581","","","","","","","","","","","731-5128","","","","","","","","","","","","","","","","","","","","","","","","A048000008","","","132.352522000114","34.3741219997366","診療所"
"おかもとクリニック","","広島市安佐南区相田１－１０－１１","082-878-8096","","","","","","","","","","","731-0141","","","","","","","","","","","","","","","","","","","","","","","","A048000009","","","132.456229000047","34.4710049996915","診療所"
"医療法人　唐淵会　桑原医院","","広島市安佐南区八木２－１３－２７","082-873-2516","","","","","","","","","","","731-0101","","","","","","","","","","","","","","","","","","","","","","","","A048000010","","","132.493310999844","34.4800569998947","診療所"
"末井内科","","広島市安佐南区八木４－６－４","082-873-3030","","","","","","","","","","","731-0101","","","","","","","","","","","","","","","","","","","","","","","","A048000011","","","132.49712099992","34.4829669998787","診療所"
"三篠園診療所","","広島市安佐北区白木町井原１２４４","082-828-3330","","","","","","","","","","","739-1301","","","","","","","","","","","","","","","","","","","","","","","","A048000012","","","132.680392000076","34.59416399986","診療所"
"医療法人和平会　折口医院","","広島市中区吉島東１－４－１６","082-241-6836","","","","","","","","","","","730-0822","","","","","","","","","","","","","","","","","","","","","","","","A048000013","","","132.449569000042","34.3765119999727","診療所"
"中国電力株式会社人材活性化部門健康管理センター","","広島市中区小町４－３３","","","","","","","","","","","","730-8701","","","","","","","","","","","","","","","","","","","","","","","","A048000014","","","132.455762999964","34.3885390000068","診療所"
"医療法人社団　豊島医院","","広島市東区矢賀１－６－２６","082-281-1612","","","","","","","","","","","732-0042","","","","","","","","","","","","","","","","","","","","","","","","A048000015","","","132.49320399988","34.3945939999507","診療所"
"医療法人　西村内科医院","","広島市中区富士見町２番２１号","082-244-1838","","","","","","","","","","","730-0043","","","","","","","","","","","","","","","","","","","","","","","","A048000016","","","132.46267899986","34.3874829999823","診療所"
"広島原爆養護ホーム舟入むつみ園","","広島市中区舟入幸町１４番１１号","","","","","","","","","","","","730-0102","","","","","","","","","","","","","","","","","","","","","","","","A048000017","","","132.438900000063","34.3856639999651","診療所"
"ひろぎんグループ健康保険組合診療所","","広島市中区紙屋町１－３－８","","","","","","","","","","","","730-8588","","","","","","","","","","","","","","","","","","","","","","","","A048000018","","","132.457922000178","34.3942919998594","診療所"
"医療法人社団　藤村医院","","広島市南区大州２丁目１５－１１","082-281-5523","","","","","","","","","","","732-0802","","","","","","","","","","","","","","","","","","","","","","","","A048000019","","","132.488177000004","34.3891779998595","診療所"
"守屋耳鼻咽喉科診療所","","広島市中区幟町７－１４","082-227-1932","","","","","","","","","","","730-0016","","","","","","","","","","","","","","","","","","","","","","","","A048000020","","","132.465594000191","34.3948109997108","診療所"
"石橋内科医院","","広島市西区井口鈴が台１－４－６","082-277-8500","","","","","","","","","","","733-0843","","","","","","","","","","","","","","","","","","","","","","","","A048000021","","","132.382878000135","34.3736689997455","診療所"
"医療法人社団　杏林会　いとうクリニック","","広島市西区庚午南１－３５－１３","082-271-1831","","","","","","","","","","","733-0823","","","","","","","","","","","","","","","","","","","","","","","","A048000022","","","132.41090400007","34.3812809997765","診療所"
"医療法人社団　鈴峰今中医院","","広島市西区井口４－２－３１","082-277-1223","","","","","","","","","","","733-0842","","","","","","","","","","","","","","","","","","","","","","","","A048000023","","","132.37418700009","34.3690669996893","診療所"
"医療法人　岡田眼科医院","","広島市中区江波二本松１丁目１５番３号","082-232-0600","","","","","","","","","","","730-0834","","","","","","","","","","","","","","","","","","","","","","","","A048000026","","","132.432348999948","34.3681239998997","診療所"
"岡東耳鼻咽喉科医院","","広島市西区天満町７－３","082-232-5514","","","","","","","","","","","733-0022","","","","","","","","","","","","","","","","","","","","","","","","A048000027","","","132.439030999918","34.3962519997532","診療所"
"医療法人あろえ会　岡本クリニック","","広島市西区己斐本町３丁目１１番７号","082-271-0405","","","","","","","","","","","733-0812","","","","","","","","","","","","","","","","","","","","","","","","A048000028","","","132.425764999976","34.3945649999032","診療所"
"医療法人社団　普照　小川医院","","広島市西区草津東１丁目１２番１号","082-271-1711","","","","","","","","","","","733-0861","","","","","","","","","","","","","","","","","","","","","","","","A048000029","","","132.407540000119","34.3788409997687","診療所"
"医療法人社団　梶谷整形外科","","広島市中区舟入南４－１４－１０","082-231-1212","","","","","","","","","","","730-0847","","","","","","","","","","","","","","","","","","","","","","","","A048000030","","","132.438273999919","34.3763200000672","診療所"
"川瀬内科循環器科","","広島市西区南観音２丁目５番１４号","082-231-0008","","","","","","","","","","","733-0035","","","","","","","","","","","","","","","","","","","","","","","","A048000031","","","132.43229299997","34.3833719999583","診療所"
"医療法人社団芸朋会　川本内科呼吸器内科クリニック","","広島市西区東観音町５－６","082-292-3669","","","","","","","","","","","733-0032","","","","","","","","","","","","","","","","","","","","","","","","A048000032","","","132.439919999988","34.3920169998579","診療所"
"医療法人　吉川医院","","広島市安佐北区大林１丁目２１番３４号","082-818-2501","","","","","","","","","","","731-0201","","","","","","","","","","","","","","","","","","","","","","","","A048000033","","","132.535860000105","34.5476059998094","診療所"
"窪医院","","広島市安佐北区亀山南５丁目７番２４号","082-812-2588","","","","","","","","","","","731-0232","","","","","","","","","","","","","","","","","","","","","","","","A048000034","","","132.491726000164","34.5243019998119","診療所"
"医療法人社団　河野医院","","広島市安佐北区三入６－２１－１６","082-818-5110","","","","","","","","","","","731-0211","","","","","","","","","","","","","","","","","","","","","","","","A048000035","","","132.531131000106","34.5443309997636","診療所"
"医療法人近藤内科クリニック","","広島市安佐南区山本一丁目１９－３６","082-874-0139","","","","","","","","","","","731-0137","","","","","","","","","","","","","","","","","","","","","","","","A048000036","","","132.453086999892","34.4358819998792","診療所"
"酒井内科医院","","広島市中区十日市町２丁目４番６号","082-231-0663","","","","","","","","","","","730-0805","","","","","","","","","","","","","","","","","","","","","","","","A048000037","","","132.449874000154","34.3993709998139","診療所"
"中国新聞健康保険組合診療所","","広島市中区土橋町７－１","082-236-2418","","","","","","","","","","","730-0854","","","","","","","","","","","","","","","","","","","","","","","","A048000039","","","132.448763000196","34.3925099999899","診療所"
"医療法人　津田耳鼻咽喉科医院","","広島市中区舟入本町１２番７号","082-232-5595","","","","","","","","","","","730-0843","","","","","","","","","","","","","","","","","","","","","","","","A048000040","","","132.442097000046","34.3853999999926","診療所"
"医療法人社団　土居会　土井クリニック","","広島市安佐北区可部２丁目４０番２２号","082-814-3211","","","","","","","","","","","731-0221","","","","","","","","","","","","","","","","","","","","","","","","A048000041","","","132.511436000122","34.5110570000193","診療所"
"中村内科小児科医院","","広島市中区舟入南３－１３－７","082-231-5500","","","","","","","","","","","730-0847","","","","","","","","","","","","","","","","","","","","","","","","A048000042","","","132.437194999919","34.3758590000773","診療所"
"医療法人　林クリニック","","広島市中区舟入南１－１０－１３","082-291-4555","","","","","","","","","","","730-0847","","","","","","","","","","","","","","","","","","","","","","","","A048000043","","","132.438653999884","34.3781500000604","診療所"
"藤浪医院","","広島市西区草津南２－６－７","082-278-1700","","","","","","","","","","","733-0863","","","","","","","","","","","","","","","","","","","","","","","","A048000044","","","132.400822999944","34.3780659997955","診療所"
"藤村内科循環器科医院","","広島市中区河原町１２－２１","082-292-0121","","","","","","","","","","","730-0856","","","","","","","","","","","","","","","","","","","","","","","","A048000045","","","132.446052000088","34.3886410000079","診療所"
"堀江医院","","広島市安佐南区祇園２丁目２２番２８号","082-874-0071","","","","","","","","","","","731-0138","","","","","","","","","","","","","","","","","","","","","","","","A048000046","","","132.465842999984","34.4426439999041","診療所"
"松原医院","","広島市安佐北区三入３－１６－２２","082-818-6363","","","","","","","","","","","731-0211","","","","","","","","","","","","","","","","","","","","","","","","A048000047","","","132.524666999913","34.5381899997806","診療所"
"宮脇耳鼻咽喉科医院","","広島市西区横川町３丁目１０番１９号","082-231-3194","","","","","","","","","","","733-0011","","","","","","","","","","","","","","","","","","","","","","","","A048000048","","","132.451428999959","34.4091199998305","診療所"
"森耳鼻咽喉科医院","","広島市安佐南区西原４丁目１１番２１号","082-874-1731","","","","","","","","","","","731-0113","","","","","","","","","","","","","","","","","","","","","","","","A048000049","","","132.467898000004","34.4385329998711","診療所"
"医療法人社団　さくら会　山崎内科クリニック","","広島市西区三篠町２丁目４番２８号","082-230-5555","","","","","","","","","","","733-0003","","","","","","","","","","","","","","","","","","","","","","","","A048000050","","","132.454316999982","34.4140079999419","診療所"
