5,"01,1014,6",日本製鋼所広島製作所診療所,〒736－0082広島市安芸区船越南１丁目６－１,082-822-0173,株式会社　日本製鋼所広島製作所　常務理事所長　二宮　俊幸,眞田　彩華,平2. 7. 1,内,診療所,,,,,,,,,,,,,,
,,,,常　勤:　　　 1,,,移転,,現存,,,,,,,,,,,,,,
,,,,(医　　　　 1),,,令5. 7. 1,,,,,,,,,,,,,,,,
,,,,非常勤:　　　 1,,,,,,,,,,,,,,,,,,,
,,,,(医　　　　 1),,,,,,,,,,,,,,,,,,,
6,"01,1017,9",花栗医院,〒730－0044広島市中区宝町７－７,082-241-5536,花栗　睦和,花栗　睦和,平9. 11. 1,内　循　小,診療所,,,,,,,,,,,,,,
,,,,常　勤:　　　 1,,,交代,,現存,,,,,,,,,,,,,,
,,,,(医　　　　 1),,,平24. 11. 1,,,,,,,,,,,,,,,,
,,,,非常勤:　　　 1,,,,,,,,,,,,,,,,,,,
,,,,(医　　　　 1),,,,,,,,,,,,,,,,,,,
7,"01,1018,7",医療法人社団はつき会　井槌産婦人科,〒730－0017広島市中区鉄砲町９－２４,082-221-1684,医療法人社団　はつき会　理事長　田中　敏文,田中　敏文,平14. 4. 1,産婦　内,診療所,,,,,,,,,,,,,,
,,,,常　勤:　　　 1,,,移転,,現存,,,,,,,,,,,,,,
,,,,(医　　　　 1),,,令2. 4. 1,,,,,,,,,,,,,,,,
8,"01,1023,7",医療法人　三和会　おおうち病院,〒730－0051広島市中区大手町３丁目７－１１,082-243-0001,医療法人　三和会　理事長　日域　大輔,日域　大輔,昭63. 11. 1,療養　　     50,病院,,,,,,,,,,,,,,
,,,,常　勤:　　　 2,,,組織変更,内　循環器内科　消化器内科　内視鏡内科　外　整外　肛門外科　リハ,現存,,,,,,,,,,,,,,
,,,,(医　　　　 2),,,令6. 11. 1,,,,,,,,,,,,,,,,
,,,,非常勤:　　　 3,,,,,,,,,,,,,,,,,,,
,,,,(医　　　　 3),,,,,,,,,,,,,,,,,,,
9,"01,1025,2",医療法人あかね会　土谷総合病院,〒730－8655広島市中区中島町３－３０,082-243-9191,医療法人あかね会　理事長　土谷　治子,土谷　治子,昭56. 11. 1,一般　　    351,病院,,,,,,,,,,,,,,
,,,,常　勤:　　　55,,,交代,内　呼内　循環器内科　消化器内科　内分泌内科　腎臓内科　感染症内科　人工透析内科　外　心外　肛門外科　整外　精　リウ　小　皮　ひ　産婦　眼　耳い　放　病理　麻,現存,,,,,,,,,,,,,,
,,,,(医　　　　55),,,令5. 11. 1,,,,,,,,,,,,,,,,
,,,,非常勤:　　　45,,,,,,,,,,,,,,,,,,,
,,,,(医　　　　45),,,,,,,,,,,,,,,,,,,
10,"01,1042,7",広島赤十字・原爆病院,〒730－8619広島市中区千田町１丁目９－６,082-241-3111,日本赤十字社　社長　清家　篤,古川　善也,昭32. 10. 1,一般　　    565,病院,,,,,,,,,,,,,,
,"(01,3042,1)",,,常　勤:　　 131,,,新規,内科　肝臓内科　腎臓内科　血液内科　内分泌・代謝内科　脳内　循環器内科　呼内　消化器内科　消化器外科　精　外科　血管外科　乳腺外科　呼吸器外科　脳外　整外　リハ　リウ　産婦　小　耳鼻咽喉科　頭頸部外科　眼　皮　ひ　放射線診断科　放射線治療科　麻　歯外　病理　形外　救急科　緩和ケア科　小児アレルギー科,現存,,,,,,,,,,,,,,
,,,,(医　　　 126),,,令5. 10. 1,,,,,,,,,,,,,,,,
,,,,(歯　　　　 5),,,,,,,,,,,,,,,,,,,
,,,,非常勤:　　　53,,,,,,,,,,,,,,,,,,,
,,,,(医　　　　52),,,,,,,,,,,,,,,,,,,
,,,,(歯　　　　 1),,,,,,,,,,,,,,,,,,,
11,"01,1044,3",財務省共済組合広島国税局診療所,〒730－0012広島市中区上八丁堀６－３０,082-221-9211,財務省共済組合広島国税局診療所　支部長　辻　貴博,田村　忠正,昭32. 10. 1,内,診療所,,,,,,,,,,,,,,
,,,,常　勤:　　　 1,,,新規,,現存,,,,,,,,,,,,,,
,,,,(医　　　　 1),,,令6. 1. 26,,,,,,,,,,,,,,,,
12,"01,1051,8",松田病院,〒734－0005広島市南区翠４丁目１３－７,082-253-1245,医療法人　翠星会　理事長　松田　文雄,松田　文雄,平18. 5. 1,精神　　    110,病院,,,,,,,,,,,,,,
,,,,常　勤:　　　 6,,,組織変更,精　児童精神科,現存,,,,,,,,,,,,,,
,,,,(医　　　　 6),,,令6. 5. 1,,,,,,,,,,,,,,,,
,,,,非常勤:　　　17,,,,,,,,,,,,,,,,,,,
,,,,(医　　　　17),,,,,,,,,,,,,,,,,,,
13,"01,1053,4",医療法人社団　田中眼科医院,〒734－0005広島市南区翠１丁目３－１５,082-255-6622,医療法人社団　田中眼科医院　理事長　田中　恵子,田中　恵子,平元. 4. 1,眼,診療所,,,,,,,,,,,,,,
,,,,常　勤:　　　 1,,,交代,,現存,,,,,,,,,,,,,,
,,,,(医　　　　 1),,,令4. 4. 1,,,,,,,,,,,,,,,,
14,"01,1063,3",澤崎産婦人科,〒732－0824広島市南区的場町２丁目２－１５,082-261-2168,澤崎　雅俊,澤崎　雅俊,平20. 8. 7,一般　　       ,診療所,,,,,,,,,,,,,,
,,,,常　勤:　　　 1,,,交代,産婦,現存,,,,,,,,,,,,,,
,,,,(医　　　　 1),,,令2. 8. 7,,,,,,,,,,,,,,,,
15,"01,1075,7",田村医院,〒734－0011広島市南区宇品海岸２丁目１２－２５,082-251-4043,医療法人田村医院　理事長　田村　裕幸,田村　裕幸,平11. 4. 1,内　外　胃　肛門外科　小　循　放　リハ,診療所,,,,,,,,,,,,,,
,,,,常　勤:　　　 1,,,組織変更,,現存,,,,,,,,,,,,,,
,,,,(医　　　　 1),,,令5. 4. 1,,,,,,,,,,,,,,,,
16,"01,1076,5",医療法人社団　江島医院,〒734－0015広島市南区宇品御幸２丁目５－７,082-251-2525,医療法人社団　江島医院　理事長　江島　久美子,山木戸　英人,平元. 5. 1,内　小　放　呼内　アレ,診療所,,,,,,,,,,,,,,
,,,,常　勤:　　　 1,,,組織変更,,現存,,,,,,,,,,,,,,
,,,,(医　　　　 1),,,令4. 5. 1,,,,,,,,,,,,,,,,
17,"01,1078,1",医療法人社団　竹本医院,〒734－0011広島市南区宇品海岸２丁目２－１１,082-251-0932,医療法人社団　竹本医院　理事長　竹本　祐司,竹本　祐司,平元. 8. 1,内　小　呼内,診療所,,,,,,,,,,,,,,
,,,,常　勤:　　　 1,,,組織変更,,現存,,,,,,,,,,,,,,
,,,,(医　　　　 1),,,令4. 8. 1,,,,,,,,,,,,,,,,
18,"01,1079,9",竹内医院,〒734－0004広島市南区宇品神田４－７－８,082-251-2321,竹内　真,竹内　真,平14. 5. 1,内　消　放,診療所,,,,,,,,,,,,,,
,,,,常　勤:　　　 2,,,移転,,現存,,,,,,,,,,,,,,
,,,,(医　　　　 2),,,令2. 5. 1,,,,,,,,,,,,,,,,
19,"01,1081,5",和田耳鼻咽喉科,〒734－0004広島市南区宇品神田５丁目５－９,082-256-1133,医療法人　和田耳鼻咽喉科　理事長　和田　秀毅,和田　秀毅,平7. 12. 1,耳　い,診療所,,,,,,,,,,,,,,
,,,,常　勤:　　　 1,,,移転,,現存,,,,,,,,,,,,,,
,,,,(医　　　　 1),,,令4. 12. 1,,,,,,,,,,,,,,,,
20,"01,1086,4",医療法人社団　宏精クリニック,〒734－0015広島市南区宇品御幸３丁目１－１１,082-256-0065,医療法人社団　宏精クリニック　胤森　信宏,胤森　信宏,平8. 11. 1,内　呼　小,診療所,,,,,,,,,,,,,,
,,,,常　勤:　　　 1,,,組織変更,,現存,,,,,,,,,,,,,,
,,,,(医　　　　 1),,,令5. 11. 1,,,,,,,,,,,,,,,,
21,"01,1087,2",医療法人　牛尾内科医院,〒734－0004広島市南区宇品神田５丁目２２－１７,082-254-5131,医療法人　牛尾内科医院　理事長　牛尾　剛士,牛尾　剛士,平8. 11. 1,一般　　     19,診療所,,,,,,,,,,,,,,
,,,,常　勤:　　　 2,,,組織変更,内　呼　胃　小　リハ　放　麻,現存,,,,,,,,,,,,,,
,,,,(医　　　　 2),,,令5. 11. 1,,,,,,,,,,,,,,,,
22,"01,1088,0",沢近医院,〒734－0015広島市南区宇品御幸１丁目１７－８,082-251-0261,澤近　紀夫,澤近　紀夫,平元. 6. 11,内　循,診療所,,,,,,,,,,,,,,
,,,,常　勤:　　　 1,,,新規,,現存,,,,,,,,,,,,,,
,,,,(医　　　　 1),,,令4. 6. 11,,,,,,,,,,,,,,,,
23,"01,1092,2",医療法人さつき会　井上内科医院,〒734－0004広島市南区宇品神田２丁目１５－３,082-251-1711,医療法人さつき会　井上内科医院　理事長　井上　忠雄,井上　忠雄,平13. 10. 1,一般　　      3,診療所,,,,,,,,,,,,,,
,,,,常　勤:　　　 1,,,組織変更,内　小　リハ,現存,,,,,,,,,,,,,,
,,,,(医　　　　 1),,,令7. 10. 1,,,,,,,,,,,,,,,,
24,"01,1098,9",真田病院,〒734－0007広島市南区皆実町３丁目１３－２１,082-253-1291,医療法人　慈徳会　理事長　田　光博,真田　博明,平17. 10. 1,一般　　     21,病院,,,,,,,,,,,,,,
,"(01,3760,8)",,,常　勤:　　　 4,,,組織変更,療養　　     29,現存,,,,,,,,,,,,,,
,,,,(医　　　　 4),,,令5. 10. 1,産婦　整外　外　内　リハ　麻　歯,,,,,,,,,,,,,,,
,,,,非常勤:　　　 2,,,,,,,,,,,,,,,,,,,
,,,,(医　　　　 1),,,,,,,,,,,,,,,,,,,
,,,,(歯　　　　 1),,,,,,,,,,,,,,,,,,,
25,"01,1107,8",医療法人社団　福原医院,〒734－0005広島市南区翠１丁目２－１１,082-251-1092,医療法人社団　福原医院　理事長　檜山　桂子,檜山　桂子,平元. 8. 1,内　リウ　呼内　アレ　外　小外,診療所,,,,,,,,,,,,,,
,,,,常　勤:　　　 1,,,組織変更,,現存,,,,,,,,,,,,,,
,,,,(医　　　　 1),,,令4. 8. 1,,,,,,,,,,,,,,,,
,,,,非常勤:　　　 4,,,,,,,,,,,,,,,,,,,
,,,,(医　　　　 4),,,,,,,,,,,,,,,,,,,
26,"01,1108,6",島内科医院,〒730－0051広島市中区大手町１丁目５－２５,082-249-6161,島　一秀,島　秀行,平6. 2. 1,内　消化器内科（内視鏡）,診療所,,,,,,,,,,,,,,
,,,,常　勤:　　　 2,,,移転,,現存,,,,,,,,,,,,,,
,,,,(医　　　　 2),,,令6. 2. 1,,,,,,,,,,,,,,,,
27,"01,1113,6",大岩内科,〒730－0017広島市中区鉄砲町２－６,082-221-2930,大岩　慈郎,大岩　慈郎,平14. 1. 1,循　内　胃　放,診療所,,,,,,,,,,,,,,
,,,,常　勤:　　　 1,,,交代,,現存,,,,,,,,,,,,,,
,,,,(医　　　　 1),,,令8. 1. 1,,,,,,,,,,,,,,,,
,,,,非常勤:　　　 1,,,,,,,,,,,,,,,,,,,
,,,,(医　　　　 1),,,,,,,,,,,,,,,,,,,
28,"01,1121,9",畑川小児科,〒736－0082広島市安芸区船越南３丁目５－３,082-823-8181,畑川　祐一郎,畑川　祐一郎,平15. 1. 1,小,診療所,,,,,,,,,,,,,,
,,,,常　勤:　　　 1,,,交代,,現存,,,,,,,,,,,,,,
,,,,(医　　　　 1),,,令3. 1. 1,,,,,,,,,,,,,,,,
29,"01,1127,6",石田医院,〒732－0016広島市東区戸坂出江２丁目１０－３１,082-229-0118,医療法人　石田医院　理事長　石田　秀子,木村　友希,平2. 6. 1,内　胃　小　放,診療所,,,,,,,,,,,,,,
,,,,常　勤:　　　 1,,,交代,,現存,,,,,,,,,,,,,,
,,,,(医　　　　 1),,,令5. 6. 1,,,,,,,,,,,,,,,,
,,,,非常勤:　　　 2,,,,,,,,,,,,,,,,,,,
,,,,(医　　　　 2),,,,,,,,,,,,,,,,,,,
30,"01,1142,5",医療法人　土本病院,〒730－0015広島市中区橋本町４－７,082-228-3390,医療法人　土本病院　理事長　土本　重雄,土本　晃裕,平10. 4. 1,療養　　     70,病院,,,,,,,,,,,,,,
,,,,常　勤:　　　 3,,,組織変更,内　整外　リハ,現存,,,,,,,,,,,,,,
,,,,(医　　　　 3),,,令4. 4. 1,,,,,,,,,,,,,,,,
,,,,非常勤:　　　 4,,,,,,,,,,,,,,,,,,,
,,,,(医　　　　 4),,,,,,,,,,,,,,,,,,,
31,"01,1158,1",うえむらファミリークリニック,〒730－0813広島市中区住吉町８－１９,082-249-4655,医療法人小鳥会　理事長　関根　真悠,関根　真悠,平元. 11. 1,内　小　脳内　放,診療所,,,,,,,,,,,,,,
,,,,常　勤:　　　 2,,,組織変更,,現存,,,,,,,,,,,,,,
,,,,(医　　　　 2),,,令4. 11. 1,,,,,,,,,,,,,,,,
32,"01,1164,9",医療法人社団　祐仁会　川上医院,〒734－0053広島市南区青崎１丁目７－２,082-281-1717,医療法人社団　祐仁会　理事長　川上　正仁,川上　正仁,平8. 7. 9,内　胃　消　皮,診療所,,,,,,,,,,,,,,
,,,,常　勤:　　　 1,,,交代,,現存,,,,,,,,,,,,,,
,,,,(医　　　　 1),,,令6. 2. 1,,,,,,,,,,,,,,,,
33,"01,1173,0",塩田病院,〒734－0052広島市南区堀越１丁目７－３６,082-281-5515,塩田　克昭,塩田　克昭,昭62. 6. 1,療養　　     24,病院,,,,,,,,,,,,,,
,,,,常　勤:　　　 2,,,交代,内　外　整外　リハ　胃,現存,,,,,,,,,,,,,,
,,,,(医　　　　 2),,,令5. 6. 1,,,,,,,,,,,,,,,,
34,"01,1179,7",医療法人社団　藤村医院,〒732－0802広島市南区大州２丁目１５－１１,082-281-5523,医療法人　社団　藤村医院　理事長　藤村　憲崇,藤村　憲崇,平5. 6. 1,内　循環器内科　血液内科,診療所,,,,,,,,,,,,,,
,,,,常　勤:　　　 1,,,組織変更,,現存,,,,,,,,,,,,,,
,,,,(医　　　　 1),,,令5. 6. 1,,,,,,,,,,,,,,,,
,,,,非常勤:　　　 2,,,,,,,,,,,,,,,,,,,
,,,,(医　　　　 2),,,,,,,,,,,,,,,,,,,
35,"01,1181,3",医療法人社団　豊島医院,〒732－0042広島市東区矢賀１丁目６－２６,082-281-1612,医療法人社団　豊島医院　理事長　豊島　仁,豊島　仁,平14. 1. 1,内　胃　小,診療所,,,,,,,,,,,,,,
,,,,常　勤:　　　 1,,,移転,,現存,,,,,,,,,,,,,,
,,,,(医　　　　 1),,,令8. 1. 1,,,,,,,,,,,,,,,,
36,"01,1183,9",中岡医院,〒732－0044広島市東区矢賀新町４丁目１－２８,082-283-4970,森田　実,森田　実,平5. 5. 7,内　神　胃,診療所,,,,,,,,,,,,,,
,,,,常　勤:　　　 1,,,交代,,現存,,,,,,,,,,,,,,
,,,,(医　　　　 1),,,令5. 5. 7,,,,,,,,,,,,,,,,
37,"01,1193,8",永山医院,〒730－0001広島市中区白島北町１０－１,082-221-2811,医療法人社団　寿会　理事長　汐見　千寿,汐見　千寿,平2. 8. 1,内,診療所,,,,,,,,,,,,,,
,,,,常　勤:　　　 1,,,組織変更,,現存,,,,,,,,,,,,,,
,,,,(医　　　　 1),,,令5. 8. 1,,,,,,,,,,,,,,,,
38,"01,1194,6",医療法人社団　天野医院,〒730－0005広島市中区西白島町７－３１,082-221-0121,医療法人　社団　天野医院　理事長　天野　雅夫,天野　雅夫,平18. 11. 1,精　神　内,診療所,,,,,,,,,,,,,,
,,,,常　勤:　　　 1,,,組織変更,,現存,,,,,,,,,,,,,,
,,,,(医　　　　 1),,,令6. 11. 1,,,,,,,,,,,,,,,,
39,"01,1198,7",山地内科医院,〒732－0067広島市東区牛田旭２丁目４－１４,082-221-2602,山地　久幸,山地　久幸,平16. 3. 25,内　循環器内科　腎臓内科　透析,診療所,,,,,,,,,,,,,,
,,,,常　勤:　　　 2,,,交代,,現存,,,,,,,,,,,,,,
,,,,(医　　　　 2),,,令4. 3. 25,,,,,,,,,,,,,,,,
40,"01,1209,2",とうぎ整形外科・リハビリクリニック,〒730－0049広島市中区南竹屋町５－８,082-244-4114,医療法人社団　絆　理事長　東儀　季功,東儀　季功,平20. 5. 19,整外　リハ　麻　内,診療所,,,,,,,,,,,,,,
,,,,常　勤:　　　 2,,,移転,,現存,,,,,,,,,,,,,,
,,,,(医　　　　 2),,,令2. 5. 19,,,,,,,,,,,,,,,,
,,,,非常勤:　　　 2,,,,,,,,,,,,,,,,,,,
,,,,(医　　　　 2),,,,,,,,,,,,,,,,,,,
41,"01,1219,1",医療法人社団生和会　たかの橋中央病院,〒730－0042広島市中区国泰寺町２丁目４－１６,082-242-1515,医療法人社団生和会　理事長　木村　浩彰,大庭　治,平12. 10. 1,一般　　    104,病院,,,,,,,,,,,,,,
,,,,常　勤:　　　 7,,,組織変更,内　脳外　循環器内科　小児科循環器内科　心外　皮　リハ　放,現存,,,,,,,,,,,,,,
,,,,(医　　　　 7),,,令6. 10. 1,,,,,,,,,,,,,,,,
,,,,非常勤:　　　 5,,,,,,,,,,,,,,,,,,,
,,,,(医　　　　 5),,,,,,,,,,,,,,,,,,,
42,"01,1227,4",新井内科,〒732－0828広島市南区京橋町７－１８,082-261-2862,医療法人社団　新井内科　理事長　新井　重紀,新井　重紀,平元. 10. 1,内　リハ,診療所,,,,,,,,,,,,,,
,,,,常　勤:　　　 1,,,交代,,現存,,,,,,,,,,,,,,
,,,,(医　　　　 1),,,令4. 10. 1,,,,,,,,,,,,,,,,
43,"01,1236,5",川村内科胃腸科医院,〒730－0825広島市中区光南１丁目５－１０,082-241-7092,川村　一郎,川村　一郎,昭56. 11. 3,内　胃,診療所,,,,,,,,,,,,,,
,,,,常　勤:　　　 2,,,交代,,現存,,,,,,,,,,,,,,
,,,,(医　　　　 2),,,令5. 11. 3,,,,,,,,,,,,,,,,
44,"01,1238,1",大野木耳鼻咽喉科医院,〒732－0067広島市東区牛田旭１丁目７－１３,082-221-5585,大野木　信,大野木　信,平16. 1. 1,耳い,診療所,,,,,,,,,,,,,,
,,,,常　勤:　　　 1,,,交代,,現存,,,,,,,,,,,,,,
,,,,(医　　　　 1),,,令4. 1. 1,,,,,,,,,,,,,,,,
45,"01,1245,6",医療法人三渓会　川堀病院,〒732－0826広島市南区松川町３－８,082-263-0303,医療法人三渓会　川堀病院　理事長　川堀　勝史,川堀　勝史,平11. 10. 1,一般　　     39,病院,,,,,,,,,,,,,,
,,,,常　勤:　　　 3,,,組織変更,大腸・肛門外科,現存,,,,,,,,,,,,,,
,,,,(医　　　　 3),,,令5. 10. 1,,,,,,,,,,,,,,,,
,,,,非常勤:　　　 6,,,,,,,,,,,,,,,,,,,
,,,,(医　　　　 6),,,,,,,,,,,,,,,,,,,
46,"01,1247,2",医療法人杉本会　杉本眼科医院,〒730－0051広島市中区大手町３丁目１３－１４,082-241-0070,医療法人　杉本会　理事長　竹中　康雄,竹中　康雄,平5. 5. 1,一般　　     10,診療所,,,,,,,,,,,,,,
,,,,常　勤:　　　 3,,,組織変更,眼,現存,,,,,,,,,,,,,,
,,,,(医　　　　 3),,,令5. 5. 1,,,,,,,,,,,,,,,,
47,"01,1257,1",三好医院,〒730－0004広島市中区東白島町１７－１,082-221-1531,三好　雪久,三好　雪久,平12. 3. 1,内　胃　外　こう,診療所,,,,,,,,,,,,,,
,,,,常　勤:　　　 1,,,交代,,現存,,,,,,,,,,,,,,
,,,,(医　　　　 1),,,令6. 3. 1,,,,,,,,,,,,,,,,
48,"01,1263,9",医療法人社団　大山皮ふ科クリニック,〒730－0017広島市中区鉄砲町３－１,082-221-1446,医療法人社団　大山皮ふ科クリニック　理事長　横山　寧恵,横山　寧恵,平13. 10. 1,皮,診療所,,,,,,,,,,,,,,
,,,,常　勤:　　　 1,,,組織変更,,現存,,,,,,,,,,,,,,
,,,,(医　　　　 1),,,令7. 10. 1,,,,,,,,,,,,,,,,
49,"01,1270,4",つきやま医院,〒732－0004広島市東区戸坂山崎町８番９号,082-229-0737,築山　文昭,築山　文昭,平21. 1. 1,内　外　こう,診療所,,,,,,,,,,,,,,
,,,,常　勤:　　　 2,,,交代,,現存,,,,,,,,,,,,,,
,,,,(医　　　　 2),,,令3. 1. 1,,,,,,,,,,,,,,,,
50,"01,1272,0",住谷内科・消化器内科・リハビリテーション科,〒734－0007広島市南区皆実町４丁目８－８,082-251-2596,医療法人住谷内科・消化器内科・リハビリテーション科　理事長　住谷　彰夫,住谷　彰夫,平8. 3. 1,内　胃　循　リハ,診療所,,,,,,,,,,,,,,
,,,,常　勤:　　　 1,,,組織変更,,休止,,,,,,,,,,,,,,
,,,,(医　　　　 1),,,令5. 3. 1,,,,,,,,,,,,,,,,
51,"01,1274,6",西村内科医院,〒730－0043広島市中区富士見町２－２１,082-244-1838,医療法人　西村内科医院　理事長　西村　保彦,西村　保彦,平元. 10. 1,内　呼　消,診療所,,,,,,,,,,,,,,
,,,,常　勤:　　　 1,,,組織変更,,現存,,,,,,,,,,,,,,
,,,,(医　　　　 1),,,令4. 10. 1,,,,,,,,,,,,,,,,
52,"01,1284,5",広島第一病院,〒732－0013広島市東区戸坂南２丁目９－１５,082-229-0211,医療法人社団　和風会　理事長　松岡　龍雄,松岡　龍雄,平9. 10. 1,精神　　    200,病院,,,,,,,,,,,,,,
,,,,常　勤:　　　 6,,,組織変更,精　心内　内,現存,,,,,,,,,,,,,,
,,,,(医　　　　 6),,,令6. 10. 1,,,,,,,,,,,,,,,,
,,,,非常勤:　　　12,,,,,,,,,,,,,,,,,,,
,,,,(医　　　　12),,,,,,,,,,,,,,,,,,,
53,"01,1290,2",井上内科小児科医院,〒734－0005広島市南区翠２丁目２１－３,082-251-5810,井上　快助,井上　快助,昭35. 4. 1,内　小,診療所,,,,,,,,,,,,,,
,,,,常　勤:　　　 1,,,新規,,現存,,,,,,,,,,,,,,
,,,,(医　　　　 1),,,令5. 4. 1,,,,,,,,,,,,,,,,
54,"01,1307,4",半田耳鼻咽喉科医院,〒734－0001広島市南区出汐１丁目１２－２,082-251-0729,医療法人社団　泰悦会　理事長　半田　正文,半田　正文,平2. 9. 1,耳い　気食,診療所,,,,,,,,,,,,,,
,,,,常　勤:　　　 2,,,組織変更,,現存,,,,,,,,,,,,,,
,,,,(医　　　　 2),,,令5. 9. 1,,,,,,,,,,,,,,,,
55,"01,1315,7",かくれんぼ小児科・アレルギー科,〒734－0023広島市南区東雲本町２丁目６－３２,082-281-3578,医療法人　しろくま会　理事長　白尾　謙一郎,岡田　千鶴,平13. 11. 1,小　アレ,診療所,,,,,,,,,,,,,,
,,,,常　勤:　　　 1,,,組織変更,,現存,,,,,,,,,,,,,,
,,,,(医　　　　 1),,,令7. 11. 1,,,,,,,,,,,,,,,,
56,"01,1322,3",津谷内科呼吸器科クリニック,〒732－0062広島市東区牛田早稲田１丁目６－３,082-221-5463,医療法人　津谷内科　理事長　津谷　隆史,中村　賢二,平16. 4. 1,内　呼　放　リハ,診療所,,,,,,,,,,,,,,
,,,,常　勤:　　　 2,,,組織変更,,現存,,,,,,,,,,,,,,
,,,,(医　　　　 2),,,令4. 4. 1,,,,,,,,,,,,,,,,
57,"01,1331,4",松島耳鼻咽喉科医院,〒730－0036広島市中区袋町１－１,082-247-4718,松島　隆浩,松島　隆浩,平12. 5. 1,耳　い,診療所,,,,,,,,,,,,,,
,,,,常　勤:　　　 2,,,交代,,現存,,,,,,,,,,,,,,
,,,,(医　　　　 2),,,令6. 5. 1,,,,,,,,,,,,,,,,
58,"01,1342,1",東雲クリニック,〒734－0021広島市南区上東雲町３０－２０,082-281-8641,竹岡　秀生,竹岡　秀生,平11. 2. 1,内　胃　こう　呼　循　外　リハ　皮,診療所,,,,,,,,,,,,,,
,,,,常　勤:　　　 1,,,移転,,現存,,,,,,,,,,,,,,
,,,,(医　　　　 1),,,令5. 2. 1,,,,,,,,,,,,,,,,
59,"01,1345,4",村上外科内科,〒734－0022広島市南区東雲２丁目１８－１５,082-282-1025,村上　博宣,村上　博宣,平9. 9. 1,外　内　呼　胃　循　整外　リハ　アレ,診療所,,,,,,,,,,,,,,
,,,,常　勤:　　　 2,,,交代,,現存,,,,,,,,,,,,,,
,,,,(医　　　　 2),,,令6. 9. 1,,,,,,,,,,,,,,,,
60,"01,1354,6",石田耳鼻咽喉科医院,〒734－0036広島市南区旭２丁目４－２８,082-251-8018,医療法人社団　石田耳鼻咽喉科医院　理事長　浜井　行夫,浜井　行夫,平6. 4. 1,耳　い,診療所,,,,,,,,,,,,,,
,,,,常　勤:　　　 1,,,移転,,現存,,,,,,,,,,,,,,
,,,,(医　　　　 1),,,令6. 4. 1,,,,,,,,,,,,,,,,
61,"01,1355,3",竹本内科・眼科医院,〒734－0034広島市南区丹那町６－１５,082-251-1518,竹本　剛,竹本　剛,平13. 5. 1,内　眼,診療所,,,,,,,,,,,,,,
